case	factor1	factor2	factor3	factor4
1	-1.23449	1.6506	-0.93305	-1.64936
2	-0.91006	-0.10156	-0.66936	1.20829
3	0.32236	0.76397	0.60578	-1.12031
4	1.50145	0.84835	-0.57517	0.26384
5	0.34458	-1.68209	-0.61888	-0.44992
6	0.41702	-1.64413	-0.06561	-0.46898
7	0.65159	1.17954	-1.05121	-0.7166
8	-0.178	-0.37212	1.70362	1.23919
9	1.30898	-0.12618	-0.2932	1.03229
10	1.00224	1.09957	-0.24233	-0.89368
11	-0.71732	0.46452	1.11258	0.7951
12	0.61664	-1.62513	-0.7281	-0.21379
13	-0.38022	-0.43818	-0.75633	0.84542
14	-0.9161	0.204	-0.75669	0.68478
15	0.61187	-1.84551	0.11135	-0.20639
16	-0.21108	-0.64234	2.34029	0.08542
17	0.08528	-0.02356	0.51231	-0.63368
18	0.65477	-1.06308	0.61925	-0.28927
19	0.20644	-0.81055	-0.12123	0.68574
20	-0.65982	0.11795	0.40679	0.86007
21	-0.61323	0.78418	-0.91	-0.2387
22	-1.21573	0.83459	-0.21488	0.7293
23	-0.44273	0.42474	-0.76705	1.01983
24	-1.26984	-1.67605	0.25178	-1.41028
25	-1.42028	1.05359	-0.31584	1.26243
26	-0.41981	1.6994	-0.84963	-0.36384
27	0.61468	1.77658	-0.54551	1.4092
28	-0.18252	-0.96925	-0.05085	0.09377
29	0.3374	-0.02474	-0.79677	1.51323
30	-0.58552	-1.29431	-0.59187	0.49411
31	-1.05151	-0.28022	-0.43469	-1.51462
32	-0.78926	1.09268	-0.26723	-0.95867
33	-0.86606	0.24385	-0.15317	0.13772
34	-0.44191	-1.09944	-0.73112	1.00756
35	0.35238	-0.00938	-0.87319	-0.22793
36	-0.99546	0.98997	0.27164	0.0898
37	1.72885	1.67385	-1.10752	-0.94857
38	-0.28858	-0.17329	-0.13731	0.30209
39	-0.1703	-0.95751	0.53011	-0.11263
40	-1.23183	1.32401	-0.33702	0.70318
41	0.41568	-0.03763	0.39608	-0.1886
42	1.45989	-1.10967	-0.83669	-1.303
43	-1.11402	0.945	3.97121	-0.50153
44	0.677	-0.25318	1.43249	-0.94715
45	-1.63462	-0.6529	1.12154	0.26422
46	-1.53122	-0.47823	-0.38955	-1.71142
47	0.30193	-0.23692	-0.71184	-0.1791
48	0.86406	0.84594	0.32934	0.66473
49	0.23949	-0.92344	1.07553	1.88558
50	-0.1699	1.33746	3.9576	-0.19793
51	0.99733	-0.77382	-0.11978	-1.65532
52	-0.01113	0.18089	-0.93518	-1.7587
53	-1.19906	1.72297	-1.18264	-0.00395
54	0.66124	0.12683	0.37915	-0.51205
55	-0.92651	-0.61033	-0.711	-0.39618
56	0.11004	-1.44857	-0.70606	-0.5562
57	-1.11158	1.93527	-0.45094	0.91602
58	1.91097	1.5294	-0.48335	0.56026
59	-0.42349	-0.1439	0.27588	-1.1909
60	-0.48635	-0.6922	1.66664	-0.65863
61	1.76702	0.64146	-0.33877	-0.52025
62	0.12418	0.45234	-0.80891	-0.28811
63	-0.09117	-0.18363	-0.78172	0.56227
64	0.39893	-0.6764	-0.4247	-0.32214
65	0.10839	-0.06087	0.94439	0.10898
66	-0.00256	0.00451	0.53883	0.45812
67	0.44949	0.73858	-0.1492	-0.9636
68	-0.11937	-1.13039	-0.60152	1.3104
69	0.44106	-0.03684	0.35648	-0.43099
70	-0.9769	-0.03818	-0.76913	0.71767
71	-0.38195	0.25943	-0.93868	-0.3563
72	0.77264	0.36438	2.25295	0.61691
73	-0.69568	-1.10363	-0.08909	1.01447
74	0.31454	-1.24505	-0.50418	1.10978
75	2.39001	0.98997	0.75306	-0.70461
76	0.9026	0.47784	0.20104	0.62989
77	-0.08835	0.24953	-0.82666	-0.29348
78	-0.00781	-1.37218	-0.51553	2.1138
79	0.32376	-1.31113	-0.30159	-0.98626
80	1.77655	0.34996	1.35382	-0.35183
